"","village_code","HouseID","menage_id","intervention.text","date.enquete","n.householdmember","n.child.0to5","n.households","n.population","ses.quintile","main.drinking.water.dry.binary","main.drinking.water.rainy.binary","correct.handwashing.binary","improved.sanitation.binary","livestock.access.house.binary","animal.excrement.floor.binary","round","stool.collect"
"1",11,268,"CAA00001601","intervention","2022-12-28",7,1,1528,7949,"second","Improved","Improved","Yes","Yes","Yes","No",1,0
"2",11,1,"CAA00004701","intervention","2022-12-19",7,0,1528,7949,"third","Improved","Improved","Yes","Yes","Yes","No",1,1
"3",11,2,"CAA00005101","intervention","2022-12-20",11,2,1528,7949,"lowest","Improved","Improved","Yes","Yes","Yes","No",1,1
"4",11,267,"CAA00001501","intervention","2022-12-24",9,3,1528,7949,"lowest","Improved","Improved","Yes","Yes","Yes","No",1,0
"5",11,270,"CAA00008601","intervention","2023-01-12",3,0,1528,7949,"lowest","Improved","Improved","Yes","Yes","Yes","No",1,0
"6",11,271,"CAA00013601","intervention","2022-12-24",13,2,1528,7949,"lowest","Improved","Improved","No","No","Yes","No",1,0
"7",11,4,"CAA00018101","intervention","2022-12-26",12,2,1528,7949,"third","Improved","Improved","Yes","Yes","Yes","No",1,1
"8",11,269,"CAA00005803","intervention","2022-12-23",5,0,1528,7949,"highest","Improved","Improved","Yes","Yes","Yes","No",1,0
"9",11,3,"CAA00007001","intervention","2022-12-19",7,0,1528,7949,"highest","Improved","Improved","Yes","Yes","Yes","No",1,1
"10",11,285,"CAE00002102","intervention","2022-12-18",14,3,1528,7949,"lowest","Improved","Improved","No","No","Yes","Yes",1,0
"11",11,286,"CAE00002202","intervention","2022-12-18",9,0,1528,7949,"fourth","Improved","Improved","No","No","Yes","Yes",1,0
"12",11,9,"CAE00004301","intervention","2022-12-18",10,0,1528,7949,"second","Improved","Improved","No","Yes","Yes","Yes",1,1
"13",11,287,"CAE00004702","intervention","2022-12-19",9,2,1528,7949,"fourth","Improved","Improved","No","No","Yes","Yes",1,0
"14",11,10,"CAE00005701","intervention","2022-12-18",5,0,1528,7949,"lowest","Improved","Improved","No","Yes","Yes","Yes",1,1
